SchoolName,Enrollment,Login,Average of Login Status,Date
ANNABEL C. PERRY PK-8,671,611,91.06,4/15/20 0:00
ANNABEL C. PERRY PK-8,671,612,91.21,4/16/20 0:00
ANNABEL C. PERRY PK-8,671,582,86.74,4/17/20 0:00
ANNABEL C. PERRY PK-8,671,615,91.65,4/20/20 0:00
ANNABEL C. PERRY PK-8,671,618,92.1,4/21/20 0:00
ANNABEL C. PERRY PK-8,671,607,90.46,4/22/20 0:00
ANNABEL C. PERRY PK-8,671,610,90.91,4/23/20 0:00
ANNABEL C. PERRY PK-8,671,594,88.52,4/24/20 0:00
ANNABEL C. PERRY PK-8,671,614,91.51,4/27/20 0:00
ANNABEL C. PERRY PK-8,671,603,89.87,4/28/20 0:00
ANNABEL C. PERRY PK-8,671,601,89.57,4/29/20 0:00
APOLLO MIDDLE,1391,1267,91.09,4/15/20 0:00
APOLLO MIDDLE,1392,1265,90.88,4/16/20 0:00
APOLLO MIDDLE,1393,1270,91.17,4/17/20 0:00
APOLLO MIDDLE,1393,1285,92.25,4/20/20 0:00
APOLLO MIDDLE,1393,1272,91.31,4/21/20 0:00
APOLLO MIDDLE,1393,1288,92.46,4/22/20 0:00
APOLLO MIDDLE,1393,1285,92.25,4/23/20 0:00
APOLLO MIDDLE,1393,1261,90.52,4/24/20 0:00
APOLLO MIDDLE,1393,1288,92.46,4/27/20 0:00
APOLLO MIDDLE,1393,1286,92.32,4/28/20 0:00
APOLLO MIDDLE,1393,1283,92.1,4/29/20 0:00
ATLANTIC TECHNICAL HIGH,602,582,96.68,4/15/20 0:00
ATLANTIC TECHNICAL HIGH,602,575,95.51,4/16/20 0:00
ATLANTIC TECHNICAL HIGH,602,586,97.34,4/17/20 0:00
ATLANTIC TECHNICAL HIGH,602,578,96.01,4/20/20 0:00
ATLANTIC TECHNICAL HIGH,602,582,96.68,4/21/20 0:00
ATLANTIC TECHNICAL HIGH,602,581,96.51,4/22/20 0:00
ATLANTIC TECHNICAL HIGH,602,575,95.51,4/23/20 0:00
ATLANTIC TECHNICAL HIGH,602,576,95.68,4/24/20 0:00
ATLANTIC TECHNICAL HIGH,602,574,95.35,4/27/20 0:00
ATLANTIC TECHNICAL HIGH,602,572,95.02,4/28/20 0:00
ATLANTIC TECHNICAL HIGH,602,580,96.35,4/29/20 0:00
ATLANTIC WEST ELEMENTARY,614,552,89.9,4/15/20 0:00
ATLANTIC WEST ELEMENTARY,614,548,89.25,4/16/20 0:00
ATLANTIC WEST ELEMENTARY,614,537,87.46,4/17/20 0:00
ATLANTIC WEST ELEMENTARY,614,560,91.21,4/20/20 0:00
ATLANTIC WEST ELEMENTARY,614,555,90.39,4/21/20 0:00
ATLANTIC WEST ELEMENTARY,613,560,91.35,4/22/20 0:00
ATLANTIC WEST ELEMENTARY,613,559,91.19,4/23/20 0:00
ATLANTIC WEST ELEMENTARY,613,538,87.77,4/24/20 0:00
ATLANTIC WEST ELEMENTARY,613,555,90.54,4/27/20 0:00
ATLANTIC WEST ELEMENTARY,613,555,90.54,4/28/20 0:00
ATLANTIC WEST ELEMENTARY,613,552,90.05,4/29/20 0:00
ATTUCKS MIDDLE,823,734,89.19,4/15/20 0:00
ATTUCKS MIDDLE,823,749,91.01,4/16/20 0:00
ATTUCKS MIDDLE,823,730,88.7,4/17/20 0:00
ATTUCKS MIDDLE,823,758,92.1,4/20/20 0:00
ATTUCKS MIDDLE,821,757,92.2,4/21/20 0:00
ATTUCKS MIDDLE,821,749,91.23,4/22/20 0:00
ATTUCKS MIDDLE,821,745,90.74,4/23/20 0:00
ATTUCKS MIDDLE,821,720,87.7,4/24/20 0:00
ATTUCKS MIDDLE,821,744,90.62,4/27/20 0:00
ATTUCKS MIDDLE,821,735,89.52,4/28/20 0:00
ATTUCKS MIDDLE,822,744,90.51,4/29/20 0:00
BAIR MIDDLE,933,829,88.85,4/15/20 0:00
BAIR MIDDLE,933,825,88.42,4/16/20 0:00
BAIR MIDDLE,933,816,87.46,4/17/20 0:00
BAIR MIDDLE,933,848,90.89,4/20/20 0:00
BAIR MIDDLE,933,854,91.53,4/21/20 0:00
BAIR MIDDLE,933,853,91.43,4/22/20 0:00
BAIR MIDDLE,933,840,90.03,4/23/20 0:00
BAIR MIDDLE,933,844,90.46,4/24/20 0:00
BAIR MIDDLE,933,865,92.71,4/27/20 0:00
BAIR MIDDLE,933,829,88.85,4/28/20 0:00
BAIR MIDDLE,933,833,89.28,4/29/20 0:00
BANYAN ELEMENTARY,524,472,90.08,4/15/20 0:00
BANYAN ELEMENTARY,526,484,92.02,4/16/20 0:00
BANYAN ELEMENTARY,526,459,87.26,4/17/20 0:00
BANYAN ELEMENTARY,526,500,95.06,4/20/20 0:00
BANYAN ELEMENTARY,526,492,93.54,4/21/20 0:00
BANYAN ELEMENTARY,526,490,93.16,4/22/20 0:00
BANYAN ELEMENTARY,526,483,91.83,4/23/20 0:00
BANYAN ELEMENTARY,526,458,87.07,4/24/20 0:00
BANYAN ELEMENTARY,526,495,94.11,4/27/20 0:00
BANYAN ELEMENTARY,526,497,94.49,4/28/20 0:00
BANYAN ELEMENTARY,526,488,92.78,4/29/20 0:00
BAYVIEW ELEMENTARY,559,550,98.39,4/15/20 0:00
BAYVIEW ELEMENTARY,559,545,97.5,4/16/20 0:00
BAYVIEW ELEMENTARY,561,525,93.58,4/17/20 0:00
BAYVIEW ELEMENTARY,561,548,97.68,4/20/20 0:00
BAYVIEW ELEMENTARY,561,545,97.15,4/21/20 0:00
BAYVIEW ELEMENTARY,561,546,97.33,4/22/20 0:00
BAYVIEW ELEMENTARY,561,543,96.79,4/23/20 0:00
BAYVIEW ELEMENTARY,561,531,94.65,4/24/20 0:00
BAYVIEW ELEMENTARY,561,546,97.33,4/27/20 0:00
BAYVIEW ELEMENTARY,561,543,96.79,4/28/20 0:00
BAYVIEW ELEMENTARY,561,544,96.97,4/29/20 0:00
BEACHSIDE MONTESSORI VILLAGE,712,708,99.44,4/15/20 0:00
BEACHSIDE MONTESSORI VILLAGE,712,710,99.72,4/16/20 0:00
BEACHSIDE MONTESSORI VILLAGE,712,701,98.46,4/17/20 0:00
BEACHSIDE MONTESSORI VILLAGE,712,708,99.44,4/20/20 0:00
BEACHSIDE MONTESSORI VILLAGE,712,708,99.44,4/21/20 0:00
BEACHSIDE MONTESSORI VILLAGE,712,708,99.44,4/22/20 0:00
BEACHSIDE MONTESSORI VILLAGE,712,706,99.16,4/23/20 0:00
BEACHSIDE MONTESSORI VILLAGE,712,698,98.03,4/24/20 0:00
BEACHSIDE MONTESSORI VILLAGE,712,712,100,4/27/20 0:00
BEACHSIDE MONTESSORI VILLAGE,712,701,98.46,4/28/20 0:00
BEACHSIDE MONTESSORI VILLAGE,712,708,99.44,4/29/20 0:00
BENNETT ELEMENTARY,272,238,87.5,4/15/20 0:00
BENNETT ELEMENTARY,272,236,86.76,4/16/20 0:00
BENNETT ELEMENTARY,272,233,85.66,4/17/20 0:00
BENNETT ELEMENTARY,272,242,88.97,4/20/20 0:00
BENNETT ELEMENTARY,272,249,91.54,4/21/20 0:00
BENNETT ELEMENTARY,272,249,91.54,4/22/20 0:00
BENNETT ELEMENTARY,272,247,90.81,4/23/20 0:00
BENNETT ELEMENTARY,272,239,87.87,4/24/20 0:00
BENNETT ELEMENTARY,272,244,89.71,4/27/20 0:00
BENNETT ELEMENTARY,272,243,89.34,4/28/20 0:00
BENNETT ELEMENTARY,272,246,90.44,4/29/20 0:00
BLANCHE ELY HIGH,1923,1586,82.48,4/15/20 0:00
BLANCHE ELY HIGH,1923,1561,81.18,4/16/20 0:00
BLANCHE ELY HIGH,1923,1566,81.44,4/17/20 0:00
BLANCHE ELY HIGH,1923,1603,83.36,4/20/20 0:00
BLANCHE ELY HIGH,1923,1578,82.06,4/21/20 0:00
BLANCHE ELY HIGH,1923,1590,82.68,4/22/20 0:00
