SCHOOLS,ENROLLMENT,ABSENT,% ABSENT,% PRESENT,SCHOOL_TYPE,WEEK
WEST UNIVERSITY CHARTER H.S.,278,166,0.5971,0.4029,CHARTER,4/3/2020
SEMINOLE HEIGHTS CHARTER SCH,239,135,0.5649,0.4351,CHARTER,4/3/2020
GAITHER HIGH SCHOOL,2053,709,0.3453,0.6547,HIGH,4/3/2020
CLEVELAND ELEMENTARY,388,130,0.3351,0.6649,ELEMENTARY,4/3/2020
ADVANTAGE ACADEMY OF HILLSBORO,447,131,0.2931,0.7069,CHARTER,4/3/2020
VILLAGE OF EXCELLENCE MS,102,29,0.2843,0.7157,CHARTER,4/3/2020
MIDDLETON HIGH SCHOOL,1518,374,0.2464,0.7536,HIGH,4/3/2020
KIDS COMM COLLEGE SOUTHEAST MI,207,42,0.2029,0.7971,CHARTER,4/3/2020
OAK PARK ELEMENTARY,518,94,0.1815,0.8185,ELEMENTARY,4/3/2020
THONOTOSASSA ELEMENTARY,439,78,0.1777,0.8223,ELEMENTARY,4/3/2020
FOCUS ACADEMY,108,15,0.1389,0.8611,CHARTER,4/3/2020
BOWERS-WHITLEY CAREER CENTER,101,14,0.1386,0.8614,ALTERNATIVE,4/3/2020
BRYAN PLANT CITY ELEMENTARY,734,101,0.1376,0.8624,ELEMENTARY,4/3/2020
WILLIS PETERS EXCEPTIONAL CTR,75,10,0.1333,0.8667,ALTERNATIVE,4/3/2020
PIZZO K-8 SCHOOL,996,130,0.1305,0.8695,ALTERNATIVE,4/3/2020
SULPHUR SPRINGS K-8 COMMUNITY,773,93,0.1203,0.8797,ALTERNATIVE,4/3/2020
BRIDGEPREP ACADEMY OF RIVERVIE,1051,124,0.118,0.882,CHARTER,4/3/2020
SPORTS LEADERSHIP & MANAG ACAD,411,48,0.1168,0.8832,CHARTER,4/3/2020
EXCELSIOR PREP CHARTER SCHOOL,181,21,0.116,0.884,CHARTER,4/3/2020
CHANNELSIDE ACAD MATH AND SCI,521,60,0.1152,0.8848,CHARTER,4/3/2020
FOSTER ELEMENTARY,450,51,0.1133,0.8867,ELEMENTARY,4/3/2020
FLORIDA AUTISM CHARTER SCHOOL,131,14,0.1069,0.8931,CHARTER,4/3/2020
MORT ELEMENTARY,1025,105,0.1024,0.8976,ELEMENTARY,4/3/2020
WITTER ELEMENTARY,629,64,0.1017,0.8983,ELEMENTARY,4/3/2020
INDEPENDENCE ACADEMY,942,95,0.1008,0.8992,CHARTER,4/3/2020
RODGERS MIDDLE SCHOOL,867,85,0.098,0.902,MIDDLE,4/3/2020
JENNINGS MIDDLE SCHOOL,720,69,0.0958,0.9042,MIDDLE,4/3/2020
SLAM ACADEMY AT APOLLO BEACH,538,50,0.0929,0.9071,CHARTER,4/3/2020
SHAW ELEMENTARY,736,65,0.0883,0.9117,ELEMENTARY,4/3/2020
CLAIR MEL ELEMENTARY,557,46,0.0826,0.9174,ELEMENTARY,4/3/2020
WATERS CAREER CENTER,121,10,0.0826,0.9174,ALTERNATIVE,4/3/2020
