school_number,school_name,region,pct_present,date,distance
0041,AIR BASE K-8,SOUTH,96.1,4-6-2020,True
0071,EUGENIA B THOMAS K-8 CENTER,CENTRAL,96.9,4-6-2020,True
0073,MANDARIN LAKES K-8 ACADEMY,SOUTH,75.3,4-6-2020,True
0081,LENORA BRAYNON SMITH EL,CENTRAL,75.7,4-6-2020,True
0091,BOB GRAHAM EDUCATION CENTER,NORTH,95.4,4-6-2020,True
0092,NORMAN S. EDELCUP K-8,NORTH,94.9,4-6-2020,True
0101,ARCOLA LAKE ELEMENTARY,CENTRAL,76.3,4-6-2020,True
0111,MAYA ANGELOU ELEMENTARY,CENTRAL,78.7,4-6-2020,True
0121,AUBURNDALE ELEMENTARY,CENTRAL,88.1,4-6-2020,True
0122,DR ROLANDO ESPINOSA K-8 CNT,CENTRAL,89.2,4-6-2020,True
0125,NORMA BUTLER BOSSARD EL,SOUTH,94.2,4-6-2020,True
0161,AVOCADO ELEMENTARY,SOUTH,79.8,4-6-2020,True
0201,BANYAN ELEMENTARY,CENTRAL,96,4-6-2020,True
0211,DR MANUEL C BARREIRO ELEM,SOUTH,96.8,4-6-2020,True
0231,AVENTURA WATERWAYS PREP CTR,NORTH,94.2,4-6-2020,True
0241,R K BROAD/BAY HARBOR  K-8,NORTH,95.3,4-6-2020,True
0251,ETHEL KOGER BECKHAM ELEM,SOUTH,96.3,4-6-2020,True
0261,BEL-AIRE ELEMENTARY,SOUTH,82.2,4-6-2020,True
0271,BENT TREE ELEMENTARY,SOUTH,92.7,4-6-2020,True
0311,GOULDS ELEMENTARY SCHOOL,SOUTH,67.7,4-6-2020,True
0321,BISCAYNE BEACH ELEMENTARY,NORTH,90.1,4-6-2020,True
0341,ARCH CREEK ELEMENTARY SCH,NORTH,70.7,4-6-2020,True
0361,BISCAYNE GARDENS ELEMENTARY,NORTH,75.9,4-6-2020,True
0401,VAN E BLANTON ELEMENTARY,CENTRAL,73.7,4-6-2020,True
0441,BLUE LAKES K-8,SOUTH,91.2,4-6-2020,True
0451,BOWMAN ASHE/DOOLIN K-8,SOUTH,93.1,4-6-2020,True
0461,BRENTWOOD ELEMENTARY,NORTH,84.8,4-6-2020,True
0481,JAMES H BRIGHT ELEMENTARY,NORTH,87.8,4-6-2020,True
0521,BROADMOOR ELEMENTARY,CENTRAL,81.7,4-6-2020,True
0561,WILLIAM J BRYAN ELEMENTARY,NORTH,87.2,4-6-2020,True
0641,BUNCHE PARK ELEMENTARY,NORTH,79.7,4-6-2020,True
0651,CAMPBELL DRIVE K-8 CENTER,SOUTH,81.9,4-6-2020,True
0661,CARIBBEAN K-8 CENTER,SOUTH,89,4-6-2020,True
0671,CALUSA ELEMENTARY,SOUTH,97.1,4-6-2020,True
0681,CAROL CITY ELEMENTARY,NORTH,70,4-6-2020,True
0721,GEORGE W CARVER ELEMENTARY,CENTRAL,94.1,4-6-2020,True
0761,MIA BEACH FEINBERG/FISHERK8,NORTH,84.7,4-6-2020,True
0771,WILLIAM A CHAPMAN ELEM,SOUTH,83.5,4-6-2020,True
