DISTRICT #,DISTRICT NAME,SCHOOL #,SCHOOL NAME,DAYS PRESENT,DAYS ABSENT,TOTAL DAYS,% PRESENT,AVERAGE DAILY ATTENDANCE,AVERAGE DAILY MEMBERSHIP,SUMMER DAYS PRESENT ,SUMMER DAYS ABSENT ,TOTAL SUMMER DAYS ,% SUMMER DAYS PRESENT
01,ALACHUA,0022,EARLY LEARNING ACADEMY AT DUVAL,"48,880","3,603","52,483",93.1%,272,292,0,0,0,
01,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,"115,526","6,923","122,449",94.3%,642,680,"1,015",246,"1,261",80.5%
01,ALACHUA,0041,STEPHEN FOSTER ELEMENTARY SCHOOL,"87,495","4,945","92,440",94.7%,486,514,761,178,939,81.0%
01,ALACHUA,0052,A.QUINN JONES CENTER,"11,449","2,613","14,062",81.4%,64,78,603,121,724,83.3%
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,"69,765","5,571","75,336",92.6%,388,419,667,154,821,81.2%
01,ALACHUA,0081,SIDNEY LANIER CENTER,"26,723","3,028","29,751",89.8%,148,165,"2,154",215,"2,369",90.9%
01,ALACHUA,0082,HOSPITAL HOMEBOUND,"3,065",0,"3,065",100.0%,17,17,0,0,0,
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,"120,885","8,107","128,992",93.7%,672,717,"1,569",508,"2,077",75.5%
01,ALACHUA,0101,W. A. METCALFE ELEMENTARY SCHOOL,"35,815","2,938","38,753",92.4%,199,215,23,2,25,92.0%
01,ALACHUA,0111,JOSEPH WILLIAMS ELEMENTARY SCHOOL,"94,581","7,061","101,642",93.1%,525,565,672,228,900,74.7%
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,"113,405","3,103","116,508",97.3%,630,647,48,16,64,75.0%
01,ALACHUA,0121,HOWARD W. BISHOP MIDDLE SCHOOL,"115,270","8,049","123,319",93.5%,640,685,52,0,52,100.0%
01,ALACHUA,0141,WESTWOOD MIDDLE SCHOOL,"184,231","10,044","194,275",94.8%,"1,024","1,079",321,52,373,86.1%
01,ALACHUA,0151,GAINESVILLE HIGH SCHOOL,"322,543","15,857","338,400",95.3%,"1,792","1,880",237,37,274,86.5%
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL,"56,621","3,535","60,156",94.1%,315,334,303,114,417,72.7%
01,ALACHUA,0171,ARCHER ELEMENTARY,"91,105","5,368","96,473",94.4%,506,536,680,262,942,72.2%
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,"55,951","5,983","61,934",90.3%,311,344,1,0,1,100.0%
01,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL,"62,206","3,621","65,827",94.5%,346,366,0,0,0,
01,ALACHUA,0261,NEWBERRY HIGH SCHOOL,"108,104","7,550","115,654",93.5%,601,643,1,0,1,100.0%
01,ALACHUA,0271,SANTA FE HIGH SCHOOL,"183,605","12,592","196,197",93.6%,"1,020","1,090",2,0,2,100.0%
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHOOL,"60,387","5,297","65,684",91.9%,335,365,616,77,693,88.9%
01,ALACHUA,0311,MYRA TERWILLIGER ELEMENTARY SCHOOL,"96,209","6,280","102,489",93.9%,534,569,10,2,12,83.3%
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,"107,532","9,853","117,385",91.6%,597,652,"1,141",178,"1,319",86.5%
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,"84,770","4,631","89,401",94.8%,471,497,0,0,0,
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEMENTARY SCHOOL,"54,379","4,213","58,592",92.8%,302,326,"1,362",374,"1,736",78.5%
01,ALACHUA,0411,PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL,"44,347","3,791","48,138",92.1%,246,267,9,0,9,100.0%
01,ALACHUA,0421,EASTSIDE HIGH SCHOOL,"220,067","12,557","232,624",94.6%,"1,223","1,292",26,0,26,100.0%
01,ALACHUA,0431,F. W. BUCHHOLZ HIGH SCHOOL,"384,141","22,859","407,000",94.4%,"2,134","2,261",169,0,169,100.0%
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,"163,386","9,198","172,584",94.7%,908,959,484,62,546,88.6%
01,ALACHUA,0481,FORT CLARKE MIDDLE SCHOOL,"172,476","10,504","182,980",94.3%,958,"1,017",0,0,0,
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,"132,373","7,150","139,523",94.9%,735,775,535,198,733,73.0%
01,ALACHUA,0492,FEARNSIDE FAMILY SERVICES CENTER,"15,949",156,"16,105",99.0%,89,89,0,0,0,
01,ALACHUA,0501,KIMBALL WILES ELEMENTARY SCHOOL,"160,225","8,563","168,788",94.9%,890,938,697,133,830,84.0%
01,ALACHUA,0502,KANAPAHA MIDDLE SCHOOL,"179,244","10,815","190,059",94.3%,996,"1,056",0,0,0,
01,ALACHUA,0503,WILES HEAD START,"16,572",0,"16,572",100.0%,92,92,0,0,0,
01,ALACHUA,0510,LAWTON M. CHILES ELEMENTARY SCHOOL,"136,982","7,190","144,172",95.0%,761,801,860,326,"1,186",72.5%
