y,d,s,c,fixorder,g,sub,inexp_tot,exp_tot,total_unk_tot,total_tot,inexp_r_tot,ineff_tot,otheval_tot,noeval_tot,ineff_r_tot
1718,0,0,All Schools,1,Totals for All Schools,Teachers,45868,116841,5463,168172,27.3,157,154227,13788,0.09
1718,0,0,All Schools,1,Totals for All Schools,Principals,416,2295,580,3291,12.6,2,2161,1128,0.06
1718,0,0,All Schools,1,Totals for All Schools,Other,1577,2108,1817,5502,28.7,3,3589,1910,0.05
1718,13,0,All Schools,1,Totals for All Schools,Teachers,4455,13652,754,18861,23.6,13,17412,1436,0.07
1718,13,0,All Schools,1,Totals for All Schools,Principals,47,334,19,400,11.8,0,43,357,0
1718,13,0,All Schools,1,Totals for All Schools,Other,202,386,32,620,32.6,0,40,580,0
1819,0,0,All Schools,1,Totals for All Schools,Teachers,45856,120086,4243,170185,26.9,131,155310,14744,0.08
1819,0,0,All Schools,1,Totals for All Schools,Principals,388,2388,597,3373,11.5,1,2579,793,0.03
1819,0,0,All Schools,1,Totals for All Schools,Other,1587,2282,1874,5743,27.6,0,4269,1474,0
1819,13,0,All Schools,1,Totals for All Schools,Teachers,4961,13846,68,18875,26.3,9,17336,1530,0.05
1819,13,0,All Schools,1,Totals for All Schools,Principals,51,357,0,408,12.5,0,353,55,0
1819,13,0,All Schools,1,Totals for All Schools,Other,198,423,1,622,31.8,0,557,65,0
1718,0,0,Title I Schools,2,Title I Classifications,Teachers,26390,59834,2602,88826,29.7,117,81098,7611,0.13
1718,0,0,Title I Schools,2,Title I Classifications,Principals,212,1344,314,1870,11.3,0,1174,696,0
1718,0,0,Title I Schools,2,Title I Classifications,Other,860,1059,951,2870,30,3,1749,1118,0.1
1718,13,0,Title I Schools,2,Title I Classifications,Teachers,2831,9237,518,12586,22.5,10,11628,948,0.08
1718,13,0,Title I Schools,2,Title I Classifications,Principals,18,243,14,275,6.5,0,22,253,0
1718,13,0,Title I Schools,2,Title I Classifications,Other,139,267,21,427,32.6,0,18,409,0
1819,0,0,Title I Schools,2,Title I Classifications,Teachers,27519,64130,1768,93417,29.5,103,84676,8638,0.11
1819,0,0,Title I Schools,2,Title I Classifications,Principals,213,1426,331,1970,10.8,1,1521,448,0.05
1819,0,0,Title I Schools,2,Title I Classifications,Other,881,1214,1024,3119,28.2,0,2294,825,0
1819,13,0,Title I Schools,2,Title I Classifications,Teachers,3302,10064,23,13389,24.7,9,12266,1114,0.07
1819,13,0,Title I Schools,2,Title I Classifications,Principals,22,272,0,294,7.5,0,260,34,0
1819,13,0,Title I Schools,2,Title I Classifications,Other,137,310,0,447,30.6,0,401,46,0
1718,0,0,Non-Title I Schools,3,Title I Classifications,Teachers,19478,57007,2861,79346,24.5,40,73129,6177,0.05
1718,0,0,Non-Title I Schools,3,Title I Classifications,Principals,204,951,266,1421,14.4,2,987,432,0.14
1718,0,0,Non-Title I Schools,3,Title I Classifications,Other,717,1049,866,2632,27.2,0,1840,792,0
1718,13,0,Non-Title I Schools,3,Title I Classifications,Teachers,1624,4415,236,6275,25.9,3,5784,488,0.05
1718,13,0,Non-Title I Schools,3,Title I Classifications,Principals,29,91,5,125,23.2,0,21,104,0
1718,13,0,Non-Title I Schools,3,Title I Classifications,Other,63,119,11,193,32.6,0,22,171,0
1819,0,0,Non-Title I Schools,3,Title I Classifications,Teachers,18337,55956,2475,76768,23.9,28,70634,6106,0.04
1819,0,0,Non-Title I Schools,3,Title I Classifications,Principals,175,962,266,1403,12.5,0,1058,345,0
1819,0,0,Non-Title I Schools,3,Title I Classifications,Other,706,1068,850,2624,26.9,0,1975,649,0
1819,13,0,Non-Title I Schools,3,Title I Classifications,Teachers,1659,3782,45,5486,30.2,0,5070,416,0
1819,13,0,Non-Title I Schools,3,Title I Classifications,Principals,29,85,0,114,25.4,0,93,21,0
1819,13,0,Non-Title I Schools,3,Title I Classifications,Other,61,113,1,175,34.9,0,156,19,0
1718,0,0,High Poverty Schools,4,Poverty Classifications,Teachers,12965,21314,1184,35463,36.6,57,31656,3750,0.16
1718,0,0,High Poverty Schools,4,Poverty Classifications,Principals,108,575,164,847,12.8,0,584,263,0
1718,0,0,High Poverty Schools,4,Poverty Classifications,Other,365,297,517,1179,31,2,801,376,0.17
1718,13,0,High Poverty Schools,4,Poverty Classifications,Teachers,336,559,49,944,35.6,3,816,125,0.32
1718,13,0,High Poverty Schools,4,Poverty Classifications,Principals,4,28,2,34,11.8,0,5,29,0
1718,13,0,High Poverty Schools,4,Poverty Classifications,Other,16,19,3,38,42.1,0,0,38,0
1819,0,0,High Poverty Schools,4,Poverty Classifications,Teachers,11620,21336,1055,34011,34.2,46,29917,4048,0.14
1819,0,0,High Poverty Schools,4,Poverty Classifications,Principals,90,586,181,857,10.5,1,657,199,0.12
1819,0,0,High Poverty Schools,4,Poverty Classifications,Other,327,346,503,1176,27.8,0,864,312,0
1819,13,0,High Poverty Schools,4,Poverty Classifications,Teachers,912,2087,13,3012,30.3,5,2667,340,0.17
1819,13,0,High Poverty Schools,4,Poverty Classifications,Principals,4,87,0,91,4.4,0,81,10,0
1819,13,0,High Poverty Schools,4,Poverty Classifications,Other,44,72,0,116,37.9,0,100,16,0
1718,0,0,Mid-Range Poverty Schools,5,Poverty Classifications,Teachers,23275,67206,2476,92957,25,88,86579,6290,0.09
1718,0,0,Mid-Range Poverty Schools,5,Poverty Classifications,Principals,196,1266,251,1713,11.4,2,1049,662,0.12
1718,0,0,Mid-Range Poverty Schools,5,Poverty Classifications,Other,899,1340,848,3087,29.1,1,1916,1170,0.03
1718,13,0,Mid-Range Poverty Schools,5,Poverty Classifications,Teachers,3113,11275,595,14983,20.8,9,13916,1058,0.06
1718,13,0,Mid-Range Poverty Schools,5,Poverty Classifications,Principals,21,263,16,300,7,0,20,280,0
1718,13,0,Mid-Range Poverty Schools,5,Poverty Classifications,Other,149,322,25,496,30,0,27,469,0
1819,0,0,Mid-Range Poverty Schools,5,Poverty Classifications,Teachers,24684,67818,1745,94247,26.2,66,87059,7122,0.07
1819,0,0,Mid-Range Poverty Schools,5,Poverty Classifications,Principals,203,1279,258,1740,11.7,0,1349,391,0
1819,0,0,Mid-Range Poverty Schools,5,Poverty Classifications,Other,902,1410,901,3213,28.1,0,2438,775,0
1819,13,0,Mid-Range Poverty Schools,5,Poverty Classifications,Teachers,3162,10178,31,13371,23.6,4,12373,994,0.03
1819,13,0,Mid-Range Poverty Schools,5,Poverty Classifications,Principals,35,236,0,271,12.9,0,230,41,0
1819,13,0,Mid-Range Poverty Schools,5,Poverty Classifications,Other,125,306,0,431,29,0,393,38,0
