school_name,school_number,covid.agg.enroll,covid.agg.attend,covid.avg,district_number,district_name,1819.agg.attend,1819.agg.enroll,1819.avg,minority,poverty,title_i,school_type,grade
ANNABEL C. PERRY PK-8,1631,7381,6667,90.32651402249017,6,BROWARD,124508,131620,94.5965658714481,High Minority,High Poverty,Title I,Combination School,B
APOLLO MIDDLE,1791,15320,14050,91.71018276762402,6,BROWARD,237032,250084,94.78095359959053,Mid-Range Minority,Mid-Range Poverty,Title I,Middle School,B
ATLANTIC TECHNICAL HIGH,2221,6622,6361,96.05859257022048,6,BROWARD,119041,123474,96.40977047799537,Mid-Range Minority,Mid-Range Poverty,Non-Title I,High School,A
ATLANTIC WEST ELEMENTARY,2511,6748,6071,89.96739774748073,6,BROWARD,120886,128444,94.11572358381864,High Minority,Mid-Range Poverty,Title I,Elementary School,C or below
ATTUCKS MIDDLE,343,9040,8165,90.320796460177,6,BROWARD,136578,143403,95.24068534131085,Mid-Range Minority,Mid-Range Poverty,Title I,Middle School,B
BAIR MIDDLE,2611,10263,9236,89.99317938224691,6,BROWARD,153586,162920,94.27080775840903,Mid-Range Minority,Mid-Range Poverty,Title I,Middle School,B
BANYAN ELEMENTARY,2001,5784,5318,91.94329183955739,6,BROWARD,102749,108188,94.97264021887824,High Minority,Mid-Range Poverty,Title I,Elementary School,B
BAYVIEW ELEMENTARY,641,6167,5966,96.74071671801524,6,BROWARD,100343,104703,95.83584042482069,Low Minority,Low Poverty,Non-Title I,Elementary School,A
BEACHSIDE MONTESSORI VILLAGE,2041,7832,7768,99.18283963227783,6,BROWARD,135161,141186,95.73257971753574,Mid-Range Minority,Low Poverty,Non-Title I,Combination School,A
BENNETT ELEMENTARY,201,2992,2666,89.1042780748663,6,BROWARD,63438,68278,92.91133307946923,Mid-Range Minority,Mid-Range Poverty,Title I,Elementary School,C or below
BLANCHE ELY HIGH,361,21149,17368,82.12208615064543,6,BROWARD,329036,357463,92.04756855954322,High Minority,Mid-Range Poverty,Non-Title I,High School,C or below
BOULEVARD HEIGHTS ELEMENTARY,971,6842,6404,93.59836305173926,6,BROWARD,114670,122048,93.95483744100682,High Minority,Mid-Range Poverty,Title I,Elementary School,B
BOYD H. ANDERSON HIGH,1741,18722,14892,79.54278389060998,6,BROWARD,291515,301881,96.56619661389753,High Minority,Mid-Range Poverty,Non-Title I,High School,C or below
BROADVIEW ELEMENTARY,811,7425,6800,91.58249158249158,6,BROWARD,137369,146354,93.86077592686226,High Minority,High Poverty,Title I,Elementary School,B
BROWARD ESTATES ELEMENTARY,501,3608,3149,87.27827050997783,6,BROWARD,64150,68341,93.86751730293675,High Minority,High Poverty,Title I,Elementary School,B
C. ROBERT MARKHAM ELEMENTARY,1671,5526,4764,86.21064060803475,6,BROWARD,102679,109296,93.94579856536379,High Minority,High Poverty,Title I,Elementary School,C or below
CASTLE HILL ELEMENTARY,1461,5742,4897,85.2838732149077,6,BROWARD,104000,110995,93.69791432046488,High Minority,High Poverty,Title I,Elementary School,C or below
CENTRAL PARK ELEMENTARY,2641,9141,8990,98.34810195821026,6,BROWARD,149847,156575,95.70301772313587,Mid-Range Minority,Low Poverty,Non-Title I,Elementary School,A
CHALLENGER ELEMENTARY,3771,10021,9417,93.97265741941922,6,BROWARD,176270,185840,94.85040895393887,Mid-Range Minority,Mid-Range Poverty,Title I,Elementary School,A
CHAPEL TRAIL ELEMENTARY,2961,9031,8849,97.98471930018823,6,BROWARD,140049,146908,95.33109156751163,Mid-Range Minority,Mid-Range Poverty,Non-Title I,Elementary School,A
CHARLES DREW ELEMENTARY,3221,5489,4186,76.26161413736564,6,BROWARD,88832,96538,92.01765108040357,High Minority,High Poverty,Title I,Elementary School,C or below
CHARLES W. FLANAGAN HIGH,3391,26282,24401,92.8430104253862,6,BROWARD,421386,453859,92.84513472245786,Mid-Range Minority,Mid-Range Poverty,Non-Title I,High School,A
COCONUT CREEK ELEMENTARY,1421,6666,6210,93.15931593159316,6,BROWARD,108589,114132,95.14334279606071,Mid-Range Minority,Mid-Range Poverty,Title I,Elementary School,C or below
COCONUT CREEK HIGH,1681,18091,15267,84.39002819081311,6,BROWARD,241231,267097,90.31587775227726,High Minority,Mid-Range Poverty,Non-Title I,High School,C or below
COCONUT PALM ELEMENTARY,3741,7524,7186,95.5077086656034,6,BROWARD,128362,135376,94.81887483748966,High Minority,Mid-Range Poverty,Title I,Elementary School,C or below
COLBERT ELEMENTARY,231,6820,6073,89.04692082111437,6,BROWARD,117858,125243,94.10346286818425,High Minority,Mid-Range Poverty,Title I,Elementary School,C or below
COLLINS ELEMENTARY,331,3322,2936,88.38049367850692,6,BROWARD,62460,67013,93.20579589034963,High Minority,High Poverty,Title I,Elementary School,C or below
COOPER CITY ELEMENTARY,1211,8319,8103,97.40353407861522,6,BROWARD,128332,134099,95.699445931737,Mid-Range Minority,Mid-Range Poverty,Non-Title I,Elementary School,A
