school_name,school_number,covid.agg.enroll,covid.agg.attend,school_type,grade,charter,alt_schl,minority,poverty,title_i,1819.agg.attend,1819.agg.enroll,1819.avg,covid.avg
ADA MERRITT K-8 CENTER,3191,14022,13581.085999999998,Combination School,A,NO,N,Mid-Range Minority,Low Poverty,Non-Title I,132121,136261,97.0,96.85555555555554
AGENORIA PASCHAL/OLINDA ELE,4071,6426,5275.032,Elementary School,C or below,NO,N,High Minority,Mid-Range Poverty,Title I,66248,71989,92.0,82.08888888888889
AIR BASE K-8,41,20196,19527.287999999997,Combination School,A,NO,N,High Minority,Mid-Range Poverty,Non-Title I,194801,200442,97.2,96.68888888888887
ALONZO & TRACY MOURNING SR,7048,30492,27010.83,High School,B,NO,N,Mid-Range Minority,Mid-Range Poverty,Non-Title I,285337,306704,93.0,88.58333333333334
AMELIA EARHART ELEMENTARY,1521,8244,7596.388,Elementary School,A,NO,N,High Minority,High Poverty,Title I,75686,80544,94.0,92.14444444444445
AMERICAN SENIOR HIGH SCHOOL,7011,36252,32832.227999999996,High School,C or below,NO,N,High Minority,Mid-Range Poverty,Title I,327211,356854,91.7,90.56666666666665
ANDOVER MIDDLE SCHOOL,6023,9396,8264.826000000001,Middle School,C or below,NO,N,High Minority,Mid-Range Poverty,Title I,85197,89233,95.5,87.96111111111112
ARCH CREEK ELEMENTARY SCH,341,9360,8037.64,Elementary School,C or below,NO,N,High Minority,Mid-Range Poverty,Title I,95418,99166,96.2,85.87222222222223
ARCOLA LAKE ELEMENTARY,101,10494,8354.973,Elementary School,C or below,NO,N,High Minority,Mid-Range Poverty,Title I,92945,101487,91.6,79.61666666666667
ARTHUR & POLLY MAYS 6-12,7351,11052,10215.731999999998,Combination School,A,NO,N,High Minority,Mid-Range Poverty,Title I,99144,105347,94.1,92.43333333333331
ARVIDA MIDDLE SCHOOL,6021,25380,24421.200000000004,Middle School,A,NO,N,High Minority,Mid-Range Poverty,Non-Title I,249068,256960,96.9,96.22222222222224
AUBURNDALE ELEMENTARY,121,14328,13490.608,Elementary School,B,NO,N,High Minority,Mid-Range Poverty,Title I,143907,154139,93.4,94.15555555555557
AVENTURA WATERWAYS PREP CTR,231,38016,36366.528000000006,Combination School,A,NO,N,Mid-Range Minority,Low Poverty,Non-Title I,365374,384884,94.9,95.66111111111113
AVOCADO ELEMENTARY,161,11628,10277.859999999997,Elementary School,B,NO,N,High Minority,Mid-Range Poverty,Title I,94582,101411,93.3,88.38888888888886
BANYAN ELEMENTARY,201,5904,5659.312,Elementary School,A,NO,N,High Minority,Mid-Range Poverty,Title I,59548,62789,94.8,95.85555555555555
BARBARA GOLEMAN SENIOR HIGH,7751,42372,38810.39800000001,High School,A,NO,N,High Minority,Mid-Range Poverty,Non-Title I,359923,386145,93.2,91.59444444444446
BARBARA J HAWKINS ELEM,3781,5346,4791.204000000001,Elementary School,B,NO,N,High Minority,Mid-Range Poverty,Title I,47518,50356,94.4,89.62222222222223
BEL-AIRE ELEMENTARY,261,5166,4594.295999999999,Elementary School,B,NO,N,High Minority,Mid-Range Poverty,Title I,47329,50851,93.1,88.93333333333332
BEN SHEPPARD ELEMENTARY,5021,16002,14696.947999999999,Elementary School,B,NO,N,High Minority,Mid-Range Poverty,Title I,160859,169914,94.7,91.84444444444443
BENJAMIN FRANKLIN K-8 CNTR,2041,10062,8728.785,Combination School,C or below,NO,N,High Minority,Mid-Range Poverty,Title I,95378,98899,96.4,86.75
